timestamp,raw_torque_j0,smoothed_torque_j0,raw_torque_j1,smoothed_torque_j1,raw_torque_j2,smoothed_torque_j2,raw_torque_j3,smoothed_torque_j3,raw_torque_j4,smoothed_torque_j4,raw_torque_j5,smoothed_torque_j5,raw_torque_j6,smoothed_torque_j6
1765557299184925333,-11.9299,-11.9299,10.3314,10.3314,-4.87934,-4.87934,1.6373,1.6373,0.301738,0.301738,0.00656292,0.00656292,-0.00054012,-0.00054012
1765557299187021120,-12.4347,-12.4347,10.7332,10.7332,-5.16728,-5.16728,1.46386,1.46386,0.395548,0.395548,0.0287011,0.0287011,-0.000497312,-0.000497312
1765557299189510810,-11.8848,-11.8848,10.285,10.285,-4.85475,-4.85475,1.66088,1.66088,0.28964,0.28964,0.00480691,0.00480691,-0.000469099,-0.000469099
1765557299191573771,-12.0508,-12.0508,10.4128,10.4128,-4.94984,-4.94984,1.60458,1.60458,0.319808,0.319808,0.0121851,0.0121851,-0.000441041,-0.000441041
1765557299193742053,-12.0179,-12.0179,10.3784,10.3784,-4.93187,-4.93187,1.62126,1.62126,0.311584,0.311584,0.010627,0.010627,-0.00041351,-0.00041351
1765557299195803478,-12.06,-12.06,10.4087,10.4087,-4.95645,-4.95645,1.60673,1.60673,0.318957,0.318957,0.0127284,0.0127284,-0.000387424,-0.000387424
1765557299197901639,-12.0896,-12.0896,10.4303,10.4303,-4.97403,-4.97403,1.59764,1.59764,0.323692,0.323692,0.0142478,0.0142478,-0.000360607,-0.000360607
1765557299200006855,-12.1242,-12.1242,10.4575,10.4575,-4.99425,-4.99425,1.59053,1.59053,0.328528,0.328528,0.0157768,0.0157768,-0.000332802,-0.000332802
1765557299202024420,-12.6401,-12.6401,10.8671,10.8671,-5.28934,-5.28934,1.40518,1.40518,0.426236,0.426236,0.0393503,0.0393503,-0.000291201,-0.000291201
1765557299204073413,-12.1846,-12.1846,10.4958,10.4958,-5.03021,-5.03021,1.56927,1.56927,0.338078,0.338078,0.0191867,0.0191867,-0.000264855,-0.000264855
1765557299206107251,-26.3816,-26.3816,22.5051,22.5051,-11.1651,-11.1651,-7.58436,-7.58436,15.6434,15.6434,3.97609,3.97609,-0.376423,-0.376423
1765557299208205901,-12.5341,-12.5341,10.777,10.777,-5.18239,-5.18239,1.35006,1.35006,0.711389,0.711389,0.116691,0.116691,-0.00935033,-0.00935033
1765557299210318380,-12.5297,-12.5297,10.7689,10.7689,-5.18126,-5.18126,1.35891,1.35891,0.70303,0.70303,0.114959,0.114959,-0.0090367,-0.0090367
1765557299212424573,-12.5219,-12.5219,10.7576,10.7576,-5.17772,-5.17772,1.36358,1.36358,0.697499,0.697499,0.11395,0.11395,-0.00882513,-0.00882513
1765557299214667305,-12.4766,-12.4766,10.7059,10.7059,-5.15536,-5.15536,1.39442,1.39442,0.665113,0.665113,0.106185,0.106185,-0.00810707,-0.00810707
1765557299216896628,-12.4256,-12.4256,10.6496,10.6496,-5.12965,-5.12965,1.42455,1.42455,0.633863,0.633863,0.0987122,0.0987122,-0.00746294,-0.00746294
1765557299219541993,-12.6841,-12.6841,10.8532,10.8532,-5.26928,-5.26928,1.31731,1.31731,0.739006,0.739006,0.125802,0.125802,-0.00886713,-0.00886713
1765557299221645462,-12.5249,-12.5249,10.725,10.725,-5.18503,-5.18503,1.38338,1.38338,0.670256,0.670256,0.108864,0.108864,-0.00767783,-0.00767783
1765557299223779243,-12.6067,-12.6067,10.787,10.787,-5.22973,-5.22973,1.35178,1.35178,0.700162,0.700162,0.116821,0.116821,-0.00796235,-0.00796235
1765557299225932858,-12.5037,-12.5037,10.7002,10.7002,-5.17561,-5.17561,1.39851,1.39851,0.65241,0.65241,0.10509,0.10509,-0.00711873,-0.00711873
1765557299228146885,-13.0408,-13.0408,11.1248,11.1248,-5.4649,-5.4649,1.18213,1.18213,0.867406,0.867406,0.160009,0.160009,-0.00993206,-0.00993206
1765557299230318310,-12.5693,-12.5693,10.7357,10.7357,-5.21342,-5.21342,1.38951,1.38951,0.663142,0.663142,0.108721,0.108721,-0.00689905,-0.00689905
1765557299232507125,-12.5862,-12.5862,10.7465,10.7465,-5.22359,-5.22359,1.38659,1.38659,0.665318,0.665318,0.109605,0.109605,-0.00677363,-0.00677363
1765557299234691051,-12.6343,-12.6343,10.7822,10.7822,-5.25045,-5.25045,1.37335,1.37335,0.679689,0.679689,0.113592,0.113592,-0.00681493,-0.00681493
1765557299236957180,-12.6435,-12.6435,10.7911,10.7911,-5.25608,-5.25608,1.35951,1.35951,0.684929,0.684929,0.115393,0.115393,-0.00672137,-0.00672137
1765557299239517898,-12.6837,-12.6837,10.8144,10.8144,-5.28009,-5.28009,1.35643,1.35643,0.688746,0.688746,0.116749,0.116749,-0.00658682,-0.00658682
1765557299241620110,-12.6798,-12.6798,10.8037,10.8037,-5.27884,-5.27884,1.36668,1.36668,0.682301,0.682301,0.115465,0.115465,-0.00639212,-0.00639212
1765557299243807458,-12.6826,-12.6826,10.7993,10.7993,-5.28122,-5.28122,1.36788,1.36788,0.679407,0.679407,0.115122,0.115122,-0.00620997,-0.00620997
1765557299246002908,-12.6549,-12.6549,10.7711,10.7711,-5.26737,-5.26737,1.38497,1.38497,0.66252,0.66252,0.111148,0.111148,-0.00586193,-0.00586193
1765557299248188301,-12.9682,-12.9682,11.0058,11.0058,-5.43738,-5.43738,1.27751,1.27751,0.777305,0.777305,0.140813,0.140813,-0.00706206,-0.00706206
1765557299250416646,-22.5614,-22.5614,-1.83524,-1.83524,-12.1266,-12.1266,6.86707,6.86707,0.038816,0.038816,3.96709,3.96709,-0.00559451,-0.00559451
1765557299252984976,-13.0424,-13.0424,10.1511,10.1511,-5.54704,-5.54704,1.66692,1.66692,0.595639,0.595639,0.274177,0.274177,-0.00491045,-0.00491045
1765557299255223029,-13.6426,-13.6426,10.413,10.413,-5.88672,-5.88672,1.52084,1.52084,0.788815,0.788815,0.36536,0.36536,-0.00700965,-0.00700965
1765557299257555926,-13.1326,-13.1326,10.1473,10.1473,-5.60223,-5.60223,1.66676,1.66676,0.607396,0.607396,0.290023,0.290023,-0.0047558,-0.0047558
1765557299259642633,-13.2468,-13.2468,10.2463,10.2463,-5.66371,-5.66371,1.61108,1.61108,0.655678,0.655678,0.300506,0.300506,-0.0051631,-0.0051631
1765557299261754204,-13.1568,-13.1568,10.2592,10.2592,-5.60959,-5.60959,1.60474,1.60474,0.636799,0.636799,0.278645,0.278645,-0.00481871,-0.00481871
1765557299263817235,-13.2028,-13.2028,10.2794,10.2794,-5.63646,-5.63646,1.59541,1.59541,0.647926,0.647926,0.284324,0.284324,-0.004836,-0.004836
1765557299265977695,-13.1633,-13.1633,10.2579,10.2579,-5.61516,-5.61516,1.60966,1.60966,0.630373,0.630373,0.277485,0.277485,-0.00454606,-0.00454606
1765557299268260306,-13.5527,-13.5527,10.426,10.426,-5.83647,-5.83647,1.52213,1.52213,0.751825,0.751825,0.336222,0.336222,-0.00569675,-0.00569675
